,Completion_rate,Tuition_in_state,Tuition_out_state,Faculty_salary,Pell_grant_rate,SAT_average,ACT_50thPercentile,pct_White,pct_Black,pct_Hispanic,pct_Asian,Parents_middlesch,Parents_highsch,Parents_college
0,0.6552,33560.0,33560.0,4285.0,0.2531,1029.0,21.0,0.3771,0.0612,0.059,0.1345,0.0115606936,0.2263969171,0.7620423892
1,0.5246,7383.0,18543.0,9148.0,0.4752,963.0,21.0,0.2866,0.0331,0.4212,0.1011,0.1074106749,0.3751654169,0.5174239082
2,0.403,23144.0,23144.0,7232.0,0.4668,984.0,21.0,0.3085,0.1426,0.2309,0.0149,0.0912408759,0.3613138686,0.5474452555
3,0.5472,6610.0,17770.0,9284.0,0.6369,877.0,18.0,0.1272,0.0572,0.6282,0.0557,0.1632364493,0.4336213668,0.4031421838
4,0.8166,47004.0,47004.0,11984.0,0.1337,1323.0,30.0,0.4251,0.0786,0.2268,0.0549,0.0148681055,0.1860911271,0.7990407674
5,0.5208,6577.0,17737.0,8663.0,0.6163,887.0,18.0,0.1409,0.0575,0.6083,0.059,0.1580108872,0.4375459762,0.4044431367
6,0.6591,35326.0,35326.0,6818.0,0.301,1086.0,24.0,0.8322,0.0317,0.035,0.0226,0.0176470588,0.2673202614,0.7150326797
7,0.6637,13262.0,39944.0,10076.0,0.6107,985.0,22.0,0.1124,0.0462,0.5124,0.2125,0.1716093318,0.4025306445,0.4258600237
8,0.3615,22090.0,22090.0,6087.0,0.4667,973.0,21.0,0.5933,0.2992,0.0317,0.0145,0.0166219839,0.3131367292,0.6702412869
9,0.5616,35520.0,35520.0,8602.0,0.2712,1243.0,28.0,0.6883,0.0239,0.044,0.0313,0.0138248848,0.2479262673,0.7382488479
10,0.4186,7920.0,17448.0,6941.0,0.4242,1008.0,22.0,0.8469,0.0622,0.0206,0.0089,0.0316954807,0.3757961783,0.5925083409
11,0.4943,28150.0,28150.0,5434.0,0.3543,1056.0,24.0,0.7496,0.0156,0.1019,0.0187,0.0302158273,0.2705035971,0.6992805755
12,0.8867,45760.0,45760.0,13380.0,0.134,1198.0,28.0,0.6219,0.0313,0.0765,0.0804,0.0118343195,0.1437024514,0.8444632291
13,0.518,10614.0,23124.0,8640.0,0.4298,1125.0,25.0,0.7047,0.1066,0.0502,0.0617,0.0380200861,0.3418220947,0.6201578192
14,0.4417,7716.0,17508.0,7593.0,0.4007,993.0,22.0,0.5727,0.189,0.1747,0.0119,0.0362413194,0.3172743056,0.646484375
15,0.4289,9077.0,20812.0,9044.0,0.3092,981.0,21.0,0.6473,0.1199,0.1612,0.0346,0.028650647,0.3558225508,0.6155268022
16,0.5556,10600.0,27970.0,8755.0,0.3718,1085.0,24.0,0.8119,0.0201,0.0222,0.0138,0.0058370301,0.2675694607,0.7265935092
17,0.5907,35578.0,35578.0,11758.0,0.2764,1020.0,23.0,0.4339,0.0591,0.1142,0.0828,0.021794222,0.2747085656,0.7034972124
18,0.6502,29950.0,29950.0,7728.0,0.3842,1069.0,23.0,0.6742,0.0755,0.1608,0.0238,0.0545938748,0.3928095872,0.5525965379
19,0.3954,7259.0,19159.0,8628.0,0.5878,933.0,20.0,0.0656,0.0255,0.8339,0.0078,0.0754966887,0.3389524383,0.585550873
20,0.5147,26910.0,26910.0,7810.0,0.3839,1177.0,26.0,0.6571,0.0983,0.0928,0.0114,0.0230414747,0.3124423963,0.664516129
21,0.6796,8996.0,22116.0,9256.0,0.4003,1091.0,24.0,0.489,0.1631,0.1505,0.0832,0.0290535839,0.2743562978,0.6965901183
22,0.5278,26340.0,26340.0,8773.0,0.2355,931.0,19.0,0.5536,0.0837,0.1955,0.0274,0.0230642504,0.2915980231,0.6853377265
23,0.4579,30406.0,30406.0,6132.0,0.4911,1047.0,23.0,0.8066,0.0164,0.0476,0.0137,0.0316656111,0.332488917,0.6358454718
24,0.7175,36960.0,36960.0,7035.0,0.3073,1105.0,24.0,0.7329,0.1239,0.0596,0.0379,0.0133868809,0.2583668005,0.7282463186
25,0.7793,31560.0,31560.0,9246.0,0.2883,1074.0,24.0,0.4131,0.0694,0.0644,0.2345,0.0389082462,0.2659698026,0.6951219512
26,0.4867,34380.0,34380.0,7055.0,0.3577,954.0,21.0,0.4579,0.2062,0.112,0.0589,0.0223367698,0.295532646,0.6821305842
27,0.353,8196.0,11856.0,6762.0,0.5008,989.0,21.0,0.6414,0.2736,0.0312,0.008,0.0174346202,0.403486924,0.5790784558
28,0.3712,8145.0,22365.0,7416.0,0.3831,1029.0,23.0,0.6026,0.0278,0.111,0.0197,0.0323590814,0.3590814196,0.608559499
29,0.6803,48791.0,48791.0,10690.0,0.2112,1214.0,28.0,0.5426,0.066,0.058,0.1414,0.02115319,0.2664619584,0.7123848516
30,0.8994,51245.0,51245.0,12627.0,0.1787,1377.0,31.0,0.4618,0.0539,0.0781,0.1309,0.0239808153,0.139088729,0.8369304556
31,0.5507,28030.0,28030.0,6019.0,0.338,1053.0,23.0,0.716,0.0949,0.0772,0.0082,0.0218281037,0.3410641201,0.6371077763
32,0.4658,12046.0,12046.0,6613.0,0.4133,1010.0,22.0,0.5975,0.1811,0.1029,0.0305,0.0465838509,0.4270186335,0.5263975155
33,0.6537,22734.0,22734.0,6425.0,0.3184,1144.0,25.0,0.8017,0.0209,0.0525,0.009,0.0265486726,0.2975663717,0.6758849558
34,0.3623,6903.0,20057.0,6237.0,0.357,1029.0,22.0,0.5708,0.2273,0.0455,0.0168,0.0189300412,0.3637860082,0.6172839506
35,0.4739,8206.0,19867.0,7957.0,0.4217,903.0,18.0,0.6112,0.0893,0.1734,0.03,0.0517063082,0.3953809031,0.5529127887
36,0.6193,32404.0,32404.0,8018.0,0.2395,1119.0,25.0,0.7131,0.0191,0.1007,0.0291,0.0158102767,0.2529644269,0.7312252964
37,0.4534,6355.0,17515.0,8879.0,0.6773,874.0,18.0,0.0714,0.0423,0.6256,0.1526,0.1801669675,0.4187725632,0.4010604693
38,0.6274,29770.0,29770.0,6819.0,0.4274,1029.0,22.0,0.4076,0.0633,0.4435,0.0307,0.1059602649,0.3675496689,0.5264900662
39,0.6246,27830.0,27830.0,9078.0,0.3161,1070.0,23.0,0.6554,0.0697,0.182,0.0328,0.0443478261,0.3330434783,0.6226086957
40,0.5489,39697.0,39697.0,11763.0,0.3437,1054.0,23.0,0.501,0.1057,0.1493,0.0872,0.0207631874,0.2724466891,0.7067901235
41,0.4689,26100.0,26100.0,6329.0,0.382,994.0,22.0,0.5762,0.0944,0.0164,0.0094,0.0284775465,0.4140197152,0.5575027382
42,0.5478,6610.0,20520.0,9880.0,0.2983,1081.0,24.0,0.624,0.037,0.1784,0.0685,0.0373096871,0.3466622051,0.6160281077
43,0.7004,8079.0,27409.0,10844.0,0.1883,1164.0,26.0,0.6823,0.0296,0.0647,0.0311,0.012646307,0.2093367416,0.7780169514
44,0.7718,44076.0,44076.0,9545.0,0.2081,1209.0,27.0,0.6167,0.0199,0.1145,0.0811,0.0146276596,0.1715425532,0.8138297872
45,0.4407,21790.0,21790.0,5248.0,0.2158,1001.0,22.0,0.7673,0.1041,0.0327,0.0105,0.0169491525,0.3737734166,0.6092774309
46,0.3894,8423.0,19776.0,7489.0,0.4075,990.0,21.0,0.7251,0.1117,0.0342,0.0071,0.008040201,0.3781407035,0.6138190955
47,0.2914,7182.0,12774.0,7079.0,0.7115,823.0,17.0,0.0279,0.9501,0.0089,0.0022,0.0112460639,0.3760683761,0.6126855601
48,0.9369,48710.0,48710.0,10951.0,0.1229,1453.0,33.0,0.4128,0.0594,0.1257,0.2221,0.0140350877,0.1032581454,0.8827067669
49,0.302,15714.0,15714.0,3935.0,0.607,930.0,20.0,0.507,0.3701,0.0138,0.0051,0.0437127448,0.5015611695,0.4547260857
50,0.5083,22950.0,22950.0,6425.0,0.3478,1007.0,22.0,0.8085,0.0604,0.0404,0.0233,0.0235081374,0.4448462929,0.5316455696
51,0.4426,8544.0,24662.0,8052.0,0.3471,1088.0,24.0,0.7663,0.1067,0.0376,0.0209,0.0167320261,0.2766013072,0.7066666667
52,0.6281,38072.0,38072.0,9364.0,0.2929,1145.0,25.0,0.5079,0.0993,0.1901,0.0944,0.0238393977,0.2471769134,0.7289836888
53,0.3779,27250.0,27250.0,6080.0,0.3782,959.0,21.0,0.4572,0.1053,0.0753,0.012,0.0267716535,0.3716535433,0.6015748031
54,0.3693,27300.0,27300.0,7993.0,0.4558,1038.0,22.0,0.4495,0.1799,0.2349,0.05,0.0517633675,0.3134243458,0.6348122867
55,0.5414,11700.0,11700.0,5180.0,0.6454,1071.0,24.0,0.5984,0.3136,0.0171,0.0112,0.0268456376,0.3310961969,0.6420581655
56,0.3524,6971.0,17538.0,7393.0,0.4873,886.0,19.0,0.0227,0.8885,0.0276,0.0141,0.0219619327,0.3674963397,0.6105417277
57,0.4964,6800.0,21391.0,8381.0,0.2938,1128.0,25.0,0.8506,0.0066,0.0323,0.0091,0.0093143084,0.232065002,0.7586206897
58,0.4954,23696.0,23696.0,5577.0,0.4113,1064.0,23.0,0.8395,0.0912,0.0142,0.0047,0.0131180626,0.3410696266,0.6458123108
59,0.3833,17300.0,17300.0,6231.0,0.5005,915.0,19.0,0.4724,0.3363,0.0363,0.0114,0.0358565737,0.4028884462,0.5612549801
